"Date";"CHF";"EUR";"GBP";"USD";"AUD";"BGN";"BRL";"CAD";"CNY";"CZK";"DKK";"HKD";"IDR";"ILS";"INR";"ISK";"JPY";"KRW";"MXN";"MYR";"NOK";"NZD";"PHP";"PLN";"RON";"RSD";"RUB";"SEK";"SGD";"THB";"TRY";"UAH";"ZAR"
"Unit";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"100";"1";"1";"1";"100";"100";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"2025. 03. 26.";"419,60";"400,28";"478,67";"370,80";"234,49";"204,65";"65,05";"260,14";"51,04";"16,07";"53,66";"47,69";"2,24";"101,00";"4,33";"2,78";"247,00";"25,32";"18,45";"83,71";"35,33";"213,51";"6,43";"96,02";"80,44";"3,41";"4,40";"36,93";"277,21";"10,91";"9,77";"8,92";"20,32"
"2025. 03. 25.";"418,00";"398,94";"477,66";"369,39";"232,68";"203,97";"64,12";"257,99";"50,86";"16,03";"53,48";"47,50";"2,23";"100,52";"4,31";"2,77";"245,44";"25,17";"18,45";"83,27";"35,15";"211,48";"6,42";"95,76";"80,18";"3,40";"4,37";"36,74";"276,14";"10,88";"9,74";"8,85";"20,28"
"2025. 03. 24.";"416,87";"398,44";"476,45";"367,60";"231,48";"203,71";"64,16";"256,52";"50,67";"15,97";"53,42";"47,29";"2,22";"98,95";"4,29";"2,76";"245,77";"25,06";"18,21";"82,90";"35,00";"211,08";"6,41";"95,23";"80,06";"3,40";"4,40";"36,40";"274,92";"10,85";"9,71";"8,82";"20,23"
"2025. 03. 21.";"417,61";"399,25";"476,99";"368,79";"231,78";"204,13";"64,98";"257,19";"50,85";"15,96";"53,52";"47,44";"2,24";"99,62";"4,29";"2,77";"246,86";"25,21";"18,25";"83,42";"34,95";"212,20";"6,44";"95,07";"80,22";"3,41";"4,35";"36,47";"276,10";"10,89";"9,74";"8,88";"20,23"
"2025. 03. 20.";"417,15";"399,36";"476,71";"367,97";"231,60";"204,18";"65,13";"255,98";"50,80";"15,96";"53,53";"47,35";"2,23";"100,53";"4,26";"2,76";"247,37";"25,11";"18,27";"83,14";"34,55";"211,47";"6,43";"95,16";"80,23";"3,41";"4,36";"36,13";"275,63";"10,92";"9,69";"8,85";"20,19"
"2025. 03. 19.";"416,89";"399,23";"475,07";"366,20";"231,91";"204,12";"64,55";"255,65";"50,61";"15,95";"53,52";"47,13";"2,22";"99,76";"4,24";"2,74";"244,52";"25,13";"18,33";"82,55";"34,57";"211,99";"6,40";"95,18";"80,22";"3,41";"4,42";"36,25";"274,68";"10,89";"9,41";"8,81";"20,09"
"2025. 03. 18.";"413,17";"397,95";"472,52";"363,42";"231,90";"203,46";"63,92";"254,44";"50,31";"15,89";"53,34";"46,77";"2,21";"99,39";"4,20";"2,72";"242,60";"25,07";"18,21";"81,76";"34,64";"211,73";"6,34";"95,23";"79,94";"3,39";"4,46";"36,21";"273,06";"10,82";"9,92";"8,74";"20,14"
"2025. 03. 17.";"415,04";"399,33";"474,55";"366,36";"232,53";"204,17";"63,76";"255,16";"50,64";"15,96";"53,52";"47,15";"2,23";"100,19";"4,22";"2,73";"246,42";"25,29";"18,40";"82,42";"34,64";"211,76";"6,40";"95,57";"80,23";"3,41";"4,35";"36,23";"274,86";"10,90";"10,00";"8,84";"20,19"
"2025. 03. 14.";"416,63";"399,99";"476,46";"368,55";"232,26";"204,50";"63,55";"255,56";"50,95";"15,94";"53,61";"47,41";"2,25";"99,98";"4,24";"2,74";"247,40";"25,32";"18,41";"82,89";"34,46";"210,81";"6,43";"95,71";"80,36";"3,41";"4,30";"36,17";"275,86";"10,94";"10,05";"8,88";"20,23"
"2025. 03. 13.";"416,31";"399,59";"475,98";"367,27";"231,05";"204,30";"63,33";"255,58";"50,70";"15,93";"53,57";"47,26";"2,24";"100,62";"4,22";"2,73";"247,89";"25,25";"18,20";"82,76";"34,46";"209,45";"6,40";"95,24";"80,29";"3,41";"4,26";"36,22";"275,17";"10,88";"10,03";"8,84";"19,99"
"2025. 03. 12.";"415,75";"401,02";"475,23";"367,40";"231,06";"205,03";"63,23";"254,45";"50,72";"16,04";"53,76";"47,29";"2,23";"100,88";"4,21";"2,73";"247,22";"25,31";"18,15";"82,93";"34,50";"209,79";"6,41";"95,42";"80,56";"3,42";"4,25";"36,50";"275,43";"10,85";"10,05";"8,84";"19,99"
"2025. 03. 11.";"416,87";"400,71";"475,17";"367,35";"231,14";"204,87";"62,74";"254,94";"50,79";"16,05";"53,73";"47,28";"2,24";"100,91";"4,21";"2,73";"249,22";"25,30";"18,07";"83,24";"34,47";"209,76";"6,42";"95,45";"80,51";"3,42";"4,27";"36,63";"275,87";"10,87";"10,05";"8,87";"20,12"
"2025. 03. 10.";"419,29";"399,14";"474,79";"367,80";"232,67";"204,07";"63,51";"256,15";"50,66";"15,99";"53,51";"47,35";"2,25";"101,69";"4,21";"2,72";"249,80";"25,29";"18,16";"83,15";"34,23";"211,15";"6,41";"95,35";"80,19";"3,41";"4,17";"36,35";"276,33";"10,88";"10,07";"8,90";"20,11"
"2025. 03. 07.";"417,97";"398,88";"475,16";"367,23";"231,87";"203,94";"63,72";"256,80";"50,80";"15,93";"53,47";"47,25";"2,25";"101,63";"4,23";"2,71";"249,05";"25,44";"18,15";"83,18";"33,90";"210,31";"6,42";"95,51";"80,16";"3,41";"4,13";"36,39";"276,32";"10,91";"10,07";"8,91";"20,33"
"2025. 03. 06.";"418,27";"400,24";"477,17";"370,59";"234,73";"204,63";"64,56";"258,30";"51,15";"15,96";"53,66";"47,68";"2,27";"102,51";"4,25";"2,72";"250,58";"25,59";"18,11";"83,70";"34,11";"212,53";"6,47";"95,83";"80,42";"3,42";"4,15";"36,69";"277,99";"10,97";"10,17";"8,98";"20,21"
"2025. 03. 05.";"419,44";"397,99";"476,91";"371,54";"233,51";"203,48";"63,13";"258,32";"51,19";"15,89";"53,35";"47,80";"2,28";"102,92";"4,27";"2,71";"248,72";"25,66";"18,12";"83,88";"33,68";"211,03";"6,48";"95,81";"79,96";"3,40";"4,14";"36,02";"278,10";"11,04";"10,21";"8,98";"20,21"
"2025. 03. 04.";"424,97";"398,22";"482,10";"378,86";"235,76";"203,60";"64,37";"262,64";"52,11";"15,89";"53,40";"48,72";"2,30";"104,90";"4,34";"2,73";"254,18";"25,95";"18,15";"84,82";"33,83";"213,15";"6,57";"95,84";"80,02";"3,40";"4,24";"35,95";"281,89";"11,20";"10,40";"9,11";"20,40"
"2025. 03. 03.";"427,79";"401,90";"486,72";"385,40";"239,91";"205,48";"65,48";"267,12";"52,87";"16,01";"53,89";"49,56";"2,34";"106,87";"4,41";"2,76";"256,34";"26,42";"18,86";"86,30";"34,36";"216,17";"6,66";"96,09";"80,74";"3,43";"4,32";"36,07";"285,93";"11,28";"10,58";"9,27";"20,68"
